Wed 01:53:49 AM ET | last publish Wed 01:53:45 AM | age 4s | $331.565 ±0.055
Wed 01:58:49 AM ET | last publish Wed 01:58:43 AM | age 6s | $331.680 ±0.090
Wed 02:03:54 AM ET | last publish Wed 02:03:47 AM | age 7s | $331.610 ±0.010
Wed 02:08:57 AM ET | last publish Wed 02:08:52 AM | age 5s | $331.590 ±0.050
Wed 02:13:58 AM ET | last publish Wed 02:13:47 AM | age 11s | $331.670 ±0.030
Wed 02:19:02 AM ET | last publish Wed 02:18:52 AM | age 10s | $331.640 ±0.020
Wed 02:24:03 AM ET | last publish Wed 02:23:57 AM | age 6s | $331.635 ±0.015
Wed 02:29:03 AM ET | last publish Wed 02:28:51 AM | age 12s | $331.550 ±0.040
Wed 02:34:04 AM ET | last publish Wed 02:33:59 AM | age 5s | $331.550 ±0.020
Wed 02:39:05 AM ET | last publish Wed 02:38:55 AM | age 10s | $331.570 ±0.040
Wed 02:44:06 AM ET | last publish Wed 02:43:57 AM | age 9s | $331.630 ±0.060
Wed 02:49:08 AM ET | last publish Wed 02:49:01 AM | age 7s | $331.530 ±0.020
