auction	rent_returned_sol	closed_by	signature
4m6xJb3rBwYJn6qGzvYAgLdrHrNMBhEKCCPavWdsL9B8	0.018328640	railway keeper	3eE3ywVKYwG7MS9UqAWjjm3nCFnk2GuxFVEAq7uWNwQriJh6FL6UBmvvJsYmsNbvhxNCiebFtbTyKg2J36M3Gzu1
55EMeBBp1NRcsKDrnDRUfNtpZJKNCY8QNX9Vi8HobSS4	0.018328640	recovery run	4d2Qs4u1VEgoCNB6PvD8yq7QVATRbDHzUGFHQhVdKXyrCXwc8eTG5m5hS2L6fGdxnKfTc7DWjsRqX8553NfWPxv9
55j6bc42h4VCSgFHpvEZqNbKETgz3vY6vGKQkpWsHKZY	0.018328640	recovery run	2BHM2npuYePR4bNBVQDXxYeSRtrY1cKvhqgNuw1U3iweueyGJvZeG7RxJBpHZniCmB4DUQDmqfK6y1zJqeaRCmtp
55wykXPvRRUeiigcarMC4QY2DQNKUo1M3YyQa44Wj323	0.018328640	recovery run	35nrdrPJxxZ44ndT5J8TDj6fG5ogjpgt9i8N73TcTM7te6CL42kfiP7Br5C8883K7xAaRKKuHBs6WcQUpTpyzKSJ
5KyDxz9za5Msm6p7JAL1xqsLnecAAKESSvLqCSBjJxRs	0.018328640	recovery run	4xGDFKPFwUFCEAH6w4yTJeDsML5gsyfADFkmdspwFwbHtedYV4gvKEQKSEFMJYVGCAc9YMY7Rp2KJ4u5f4mEwjtJ
5VfAnJBnEFuGyVvsVL3THLxwkMZaDmUAg9jiwfHA91n3	0.018328640	railway keeper	5gv2VkCWS6PiE3WwjqSFPdBzp7a1jA59r7j345fZGpiAaxWb8oe3XotNU2tiahkiXtSi3K4fy4SzMvQRpTRWoY8T
5dhXtQYgvFzyQjavDddpN8aQ9TTMdaexHko4D69L6UJH	0.018328640	recovery run	56BEmmMtjSxMhfMxJZRWWxYH4P3zrKQs2YmnjKQ8gTA1gQhBhENZknGnz1DVKVunZ5izpixSECWqhjaiBHdY8xHV
5eViRaZQQP2xKwHiqYKNnzjLZe3aHXu3oktVAd8hLsAo	0.018328640	railway keeper	2zr4mAY5P9YxKs2RtJZb5jtTryvkRxicY1iBjNGTcRetAzrNQ4BxKSGmKKsTciiNfdCQ5a2CPvUExCLM6xiXrEHm
5nVokf9BZjByAmpmUFSGUxxfr8brfvJxM1fkfzj7bVYj	0.018328640	recovery run	3KKxz8bHBV72AXNfYZAj7wVFpNWxmF8XCtsedDHPm61vDXTq4jHaikJz3Qp4eQotQqtdzFiqUEhuwWdyFQxuN5NA
5xw8fWJRP27www1L6ZMjbH9Dqds8CAtwjsTX9VbCwuPQ	0.018328640	recovery run	5yoj46qhyAr4d4ZFsYNo3NeG8L9Bf1WrPyksH98AauLR1ERzRGuy4k1Tmm75vyi8HPNUUnvUaGPMgYJwYEdaHynb
6CramN5k1Gbb3whoMs1eCeEaDS1C7bKsiF8eaKQufYrW	0.018328640	recovery run	2mvMsbRMSwBJXWRwYUPwQ4ekDsgkEPJXybFtQbnNfD4oWdxaX8q4sFMRFLKy6HnJ6Mmt298ExfLv8ZF2T4FynvCK
6DtB6pHXC7seqpmfhbvgAZrhTjMBRiJYnpVU9wmphc2F	0.018328640	railway keeper	4ePfiTJHMktf7J6upGXC5U4SyYacYSNnPmbXjshuVXFrz9CJogZR4U2oMFTVfgAkZcaPwErFefirbNtvjJXTHYaD
6FLJMiEEgj1n2T8x4evwtRs5UeBqGjyC7qQRRtfKbUa4	0.018328640	railway keeper	2d7QJSYtH3KQWkvqn3QSgvcNLmU14Ha83z49siBXRsMiAGWkzPw5ALkKD1czpAzrCXHLhkKxbXyaTHTnohypj3Kp
6GQtMewoYUDiLbnRHEKJKsiFU3MnaC6Mt8qcPYDYean6	0.018328640	railway keeper	3iiz5kxDRaQeHdqN2kMrgzm9zU2gtSPSsy364ePc71ZHvMcfVptkF359ZdFTjQHAtY48knLJFAcGiiUd3NGs46hA
6V7mGHjPHZZm4AHnM2aubtoYk1w9ieLDPYenxWMLRStv	0.018328640	recovery run	5CFbJHPvYqLyN7iry5t1zXWdUfb6wT4SvJFqPfjGtsnqbeqovgip4VzbiXYo1AyHjn5AYQjUMWFn75BZ6e1y4Ua6
6aepo3kFALs3CrKXpkVTPBjb1jugxeX6qswGCtutEnjL	0.018328640	recovery run	2AZAFnGBv2BT7NVc9AMUfn4V2TFogQyt8exGKiYcK5px5cPDVkHjJqS5wP41KeKGr5npu2R2tsrM275uVUxjZpMd
